Animal_ID,Group_ID,Date,Dry_Days,Days_in_Milk,Is_Milked,Lactation_Num,Yield (gr),Conductivity,Fat (%),Protein (%),Lactose (%),Blood (%),SCC (*1000/ml),Activity (steps/hour),RestTime (minutes),RestBout (#),ProdRate (gr/hour),RestRatio (%),RestRestlessness,RestPerBout (minutes),ActivityDeviation (%)
8007,12,2018-04-03,0,73,1,4,49917,95.0,3.05,2.7,3.0,0.11,3427.676,157,589,8,2079,41,29,74,19.0
9599,5,2018-04-03,0,59,1,2,45722,96.0,3.42,2.2,2.88,0.08,20606.305,285,-1,-1,1905,-1,-1,-1,24.0
8789,22,2018-04-03,0,71,1,3,55359,98.0,2.53,2.98,3.09,0.1,13182.563,223,670,4,2306,47,33,168,16.0
